row_id,condition,factscore,n_facts,n_supported
0,vanilla_hf,1.0,5,5
0,vanilla_loop,1.0,5,5
0,lookback,1.0,6,6
0,factscore,1.0,5,5
0,combined,1.0,7,7
1,vanilla_hf,0.8333333333333334,6,5
1,vanilla_loop,1.0,9,9
1,lookback,1.0,12,12
1,factscore,1.0,8,8
1,combined,1.0,14,14
2,vanilla_hf,1.0,10,10
2,vanilla_loop,1.0,9,9
2,lookback,1.0,0,0
2,factscore,1.0,9,9
2,combined,1.0,0,0
3,vanilla_hf,1.0,6,6
3,vanilla_loop,1.0,6,6
3,lookback,1.0,11,11
3,factscore,1.0,8,8
3,combined,1.0,10,10
4,vanilla_hf,0.75,4,3
4,vanilla_loop,1.0,7,7
4,lookback,0.8333333333333334,6,5
4,factscore,1.0,7,7
4,combined,0.8333333333333334,6,5
